Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2022-12-16 18:41:12,30,,99,PULSE,O,3009,★,ジャガー
2022-12-18 00:16:21,30,,98,PULSE,O,3008,★,プラウラー
2022-12-18 00:16:28,30,,97,PULSE,O,3010,★,ゴリアテ工場
2022-12-18 00:16:35,30,,96,PULSE,O,3005,★,ストライカー
2022-12-19 04:08:33,30,,95,PULSE,O,3008,★,プラウラー
2022-12-19 04:09:12,30,,94,PULSE,O,3010,★,ゴリアテ工場
2022-12-19 04:09:24,30,,93,PULSE,O,3008,★,プラウラー
2022-12-19 04:09:37,30,,92,PULSE,O,3001,★,リッパー
2022-12-19 19:02:04,30,,91,PULSE,O,3007,★,スカウト
2022-12-20 18:29:42,30,,90,PULSE,O,3007,★,スカウト
2022-12-20 18:29:55,30,,89,PULSE,O,3010,★,ゴリアテ工場
2022-12-21 19:30:20,30,,88,PULSE,O,3009,★,ジャガー
2022-12-22 19:04:33,30,デストロイヤー-浮掠麋影,87,PULSE,O,3004,★,イェーガー
2022-12-22 19:04:51,30,デストロイヤー-浮掠麋影,86,PULSE,O,3007,★,スカウト
2022-12-22 19:05:11,30,デストロイヤー-浮掠麋影,85,PULSE,O,3006,★,ダイナーゲート
2022-12-22 19:05:25,30,デストロイヤー-浮掠麋影,84,PULSE,O,3004,★,イェーガー
2022-12-23 20:14:43,30,デストロイヤー-浮掠麋影,83,PULSE,O,3004,★,イェーガー
2022-12-23 20:15:01,30,デストロイヤー-浮掠麋影,82,PULSE,O,3006,★,ダイナーゲート
2022-12-26 08:54:47,30,デストロイヤー-浮掠麋影,77,PULSE,O,3001,★,リッパー
2022-12-26 08:55:11,30,デストロイヤー-浮掠麋影,76,PULSE,O,3002,★,ヴェスピド
2022-12-26 23:33:14,30,デストロイヤー-浮掠麋影,75,PULSE,O,3001,★,リッパー
2022-12-26 23:33:20,30,デストロイヤー-浮掠麋影,74,PULSE,O,3001,★,リッパー
2022-12-29 10:39:53,30,デストロイヤー-浮掠麋影,73,PULSE,O,3002,★,ヴェスピド
2022-12-29 10:40:18,30,デストロイヤー-浮掠麋影,72,PULSE,O,3005,★,ストライカー
2022-12-29 10:40:36,30,デストロイヤー-浮掠麋影,71,PULSE,O,3003,★,ガード
2022-12-29 10:41:43,30,デストロイヤー-浮掠麋影,71,PULSE,X,2004,★★,ニーマム
2023-01-02 23:38:47,30,デストロイヤー-浮掠麋影,94,PULSE,O,3004,★,イェーガー
2023-01-02 23:39:05,30,デストロイヤー-浮掠麋影,93,PULSE,O,3005,★,ストライカー
2023-01-04 08:37:37,30,デストロイヤー-浮掠麋影,92,PULSE,O,3009,★,ジャガー
2023-01-05 00:45:33,30,デストロイヤー-浮掠麋影,91,PULSE,O,3002,★,ヴェスピド
2023-01-07 09:11:20,30,デストロイヤー-浮掠麋影,90,PULSE,O,3006,★,ダイナーゲート
2023-01-07 09:11:26,30,デストロイヤー-浮掠麋影,90,PULSE,X,1017,★★★,デストロイヤー-浮掠麋影
2023-01-07 09:11:51,30,デストロイヤー-浮掠麋影,89,PULSE,O,3004,★,イェーガー
2023-01-07 09:11:58,30,デストロイヤー-浮掠麋影,88,PULSE,O,3008,★,プラウラー
2023-01-07 09:12:04,30,デストロイヤー-浮掠麋影,87,PULSE,O,3009,★,ジャガー
2023-01-07 09:12:11,30,デストロイヤー-浮掠麋影,86,PULSE,O,3006,★,ダイナーゲート
2023-01-07 09:12:18,30,デストロイヤー-浮掠麋影,85,PULSE,O,3006,★,ダイナーゲート
2023-01-10 09:53:17,30,デストロイヤー-浮掠麋影,83,PULSE,O,3008,★,プラウラー
2023-01-10 09:53:42,30,デストロイヤー-浮掠麋影,82,PULSE,O,3001,★,リッパー
2023-01-11 00:53:55,30,デストロイヤー-浮掠麋影,81,PULSE,O,3009,★,ジャガー
2023-01-11 00:54:01,30,デストロイヤー-浮掠麋影,80,PULSE,O,3007,★,スカウト
2023-01-11 00:54:09,30,デストロイヤー-浮掠麋影,79,PULSE,O,3004,★,イェーガー
2023-01-11 00:54:15,30,デストロイヤー-浮掠麋影,78,PULSE,O,3001,★,リッパー
2023-01-11 00:54:21,30,デストロイヤー-浮掠麋影,77,PULSE,O,3004,★,イェーガー
